"ACCOUNT NUMBER","END DATE/TIME","END LOCATION","FARE","OPERATOR","PASS","START DATE/TIME","START LOCATION","TRIP ID"
"100005510894","N/A","N/A","$10.20","Caltrain","N/A","12/08/2025 16:22:09","Palo Alto Caltrain","900003512630017"
"100005510894","N/A","N/A","$14.70","Caltrain","N/A","12/08/2025 08:15:12","San Francisco Caltrain","900003512261415"
"100005510894","N/A","N/A","$0.00","BART","N/A","12/03/2025 21:15:00","Fruitvale","900003509535641"
"100005510894","12/03/2025 18:25:54","Fruitvale","$4.80","BART","N/A","12/03/2025 17:58:28","Civic Center","900001426228185"
"100005510894","N/A","N/A","$2.85","Muni","N/A","12/09/2025 20:44:52","Ortega St & 48th Ave (15828)","800003513719871"
"100005510894","N/A","N/A","$0.00","Muni","N/A","12/09/2025 21:06:17","Ortega St & 48th Ave (15828)","800003513719870"
"100005510894","N/A","N/A","$2.85","Muni","N/A","12/06/2025 19:19:28","Ortega St & 48th Ave (15828)","800003511678541"
"100005510894","N/A","N/A","$2.85","Muni","N/A","12/05/2025 19:59:09","Ortega St & 48th Ave (15828)","800003511145763"
"100005510894","N/A","N/A","$2.35","Muni","N/A","12/03/2025 21:48:19","Balboa Park","800003509541759"
"100005510894","N/A","N/A","$2.85","Muni","N/A","12/03/2025 17:42:37","Ortega St & 48th Ave (15828)","800003509326086"
"100005510894","12/29/2025 19:49:40","Downtown Berkeley","$2.40","BART","Cash Value ","12/29/2025 19:34:20","12th Street / Oakland City Cen","6783072"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","12/31/2025 16:04:27","Haight/Noriega","3134922"
"100005510894","12/30/2025 09:50:28","Montgomery","$2.15","BART","Cash Value ","12/30/2025 09:22:57","Downtown Berkeley","3034531"
"100005510894","N/A","N/A","$2.50","AC Transit","Cash Value ","12/30/2025 09:09:26","67","3031820"
"100005510894","12/29/2025 17:31:58","12th Street / Oakland City Cen","$4.60","BART","Cash Value ","12/29/2025 17:08:51","24th Street / Mission","2997360"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","12/28/2025 19:45:55","Masonic","2934537"
"100005510894","N/A","N/A","$0.00","Muni","N/A","12/28/2025 13:58:00","Haight/Noriega","2909920"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","12/28/2025 13:41:58","Polk","2908785"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","12/28/2025 10:14:19","Ashbury/18th Street","2895324"
"100005510894","N/A","N/A","$0.00","Muni","N/A","12/27/2025 11:57:07","Masonic","2840505"
"100005510894","N/A","N/A","$0.00","Muni","N/A","12/27/2025 11:12:08","Taraval","2837267"
"100005510894","N/A","N/A","$0.00","Muni","N/A","12/27/2025 10:42:45","San Bruno","2835447"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","12/27/2025 10:32:38","Divisadero","2834932"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","12/26/2025 20:23:36","Masonic","2820238"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","12/19/2025 17:26:17","Haight/Noriega","2478701"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","12/18/2025 20:27:47","Stockton","2425218"
"100005510894","N/A","N/A","$0.00","Muni","N/A","12/16/2025 19:20:36","NONE","2276293"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","12/16/2025 17:28:12","Masonic","2265845"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","12/15/2025 11:52:48","Geary Rapid","2187500"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","12/14/2025 21:23:47","Haight/Parnassus","2166843"
"100005510894","N/A","N/A","$0.00","Muni","N/A","12/13/2025 20:31:25","Civic Center","2125082"
"100005510894","12/13/2025 20:28:46","Civic Center","$4.80","BART","Cash Value Pre-tax Benefit Val","12/13/2025 19:57:00","Rockridge","2124986"
"100005510894","12/13/2025 13:30:20","Oakland Ferry Terminal","$4.90","WETA","Pre-tax Benefit Value ","12/13/2025 12:50:37","San Francisco Ferry Building","2096895"
"100005510894","N/A","N/A","$0.00","Muni","N/A","12/12/2025 22:19:38","Civic Center","2077696"
"100005510894","12/12/2025 22:19:22","Civic Center","$4.80","BART","Pre-tax Benefit Value ","12/12/2025 21:48:49","Fruitvale","2077676"
"100005510894","12/12/2025 18:21:11","Lake Merritt","$4.25","BART","Pre-tax Benefit Value ","12/12/2025 17:54:48","Civic Center","2066936"
"100005510894","N/A","N/A","$2.85","Muni","Pre-tax Benefit Value ","12/11/2025 20:25:38","Divisadero","2025516"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","01/31/2026 22:17:48","Masonic","6650236"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","01/29/2026 21:42:10","NONE","6405692"
"100005510894","N/A","N/A","$0.00","Muni","N/A","01/16/2026 21:52:23","Haight/Noriega","4733395"
"100005510894","01/16/2026 21:48:43","Civic Center","$5.10","BART","Cash Value ","01/16/2026 21:16:34","Rockridge","4733394"
"100005510894","01/16/2026 18:14:18","Rockridge","$5.30","BART","Cash Value ","01/16/2026 17:44:56","16th Street / Mission","4711961"
"100005510894","N/A","N/A","$0.00","Muni","N/A","01/15/2026 22:21:30","Haight/Noriega","4612681"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","01/15/2026 20:55:21","Van Ness/Mission","4607274"
"100005510902","01/06/2026 07:42:17","SFO Airport","$8.95","BART","Cash Value ","01/06/2026 07:09:41","Civic Center","3459268"
"100005510902","N/A","N/A","$2.85","Muni","Cash Value ","01/06/2026 06:57:11","Haight/Noriega","3453756"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","01/04/2026 17:58:15","Divisadero","3353361"
"100005510894","N/A","N/A","$0.00","Muni","N/A","01/04/2026 15:32:05","Van Ness/Mission","3345187"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","01/04/2026 15:20:44","Haight/Noriega","3344581"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","01/02/2026 22:45:36","Masonic","3264894"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","01/02/2026 18:22:13","Masonic","3252763"
"100005510894","N/A","N/A","$0.00","Muni","N/A","03/01/2026 17:58:27","Haight/Noriega","11121334"
"100005510894","03/01/2026 17:53:24","Civic Center","$5.30","BART","Cash Value ","03/01/2026 17:22:57","Downtown Berkeley","11120744"
"100005510894","03/01/2026 14:24:25","Downtown Berkeley","$2.45","BART","Cash Value ","03/01/2026 13:46:36","Montgomery","11094819"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","03/01/2026 13:25:43","Geary Rapid","11087345"
"100005510894","N/A","N/A","$0.00","Muni","N/A","03/01/2026 10:27:07","Geary Rapid","11067084"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","03/01/2026 10:17:15","Divisadero","11066102"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","02/28/2026 23:45:19","Haight/Noriega","11052564"
"100005510894","02/28/2026 22:00:43","16th Street / Mission","$5.35","BART","Cash Value ","02/28/2026 21:16:16","Fruitvale","11047705"
"100005510894","02/28/2026 18:28:52","Fruitvale","$2.25","BART","Cash Value ","02/28/2026 18:01:24","Civic Center","11028565"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","02/28/2026 17:41:08","Haight/Parnassus","11021498"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","02/22/2026 22:01:29","NONE","10017124"
"100005510894","N/A","N/A","$0.00","Muni","N/A","02/22/2026 18:41:36","NONE","10003757"
"100005510894","N/A","N/A","$0.00","Muni","N/A","02/22/2026 17:22:42","Union/Stockton","9994897"
"100005510894","N/A","N/A","$0.00","Muni","N/A","02/22/2026 17:08:52","Van Ness/Mission","9992954"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","02/22/2026 16:53:51","Haight/Noriega","9991015"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","02/21/2026 22:17:52","Corbett","9920947"
"100005510894","N/A","N/A","$0.00","Muni","N/A","02/21/2026 11:09:48","Haight/Noriega","9822056"
"100005510894","02/21/2026 11:05:36","Civic Center","$4.80","BART","Cash Value ","02/21/2026 10:40:10","MacArthur","9821499"
"100005510894","02/20/2026 18:25:07","Downtown Berkeley","$2.45","BART","Cash Value ","02/20/2026 17:52:41","Powell","9758552"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","02/20/2026 17:42:24","Ingleside","9746610"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","02/19/2026 21:57:28","Haight/Noriega","9615530"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","02/19/2026 19:36:38","Haight/Noriega","9600679"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","02/17/2026 16:37:15","Haight/Noriega","9185187"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","02/17/2026 13:57:22","Judah","9161168"
"100005510894","N/A","N/A","$0.00","Muni","N/A","02/15/2026 18:58:03","Haight/Parnassus","8988927"
"100005510894","02/15/2026 18:53:16","Civic Center","$4.80","BART","Cash Value ","02/15/2026 18:26:48","MacArthur","8988523"
"100005510894","02/15/2026 13:29:52","Rockridge","$2.25","BART","Cash Value ","02/15/2026 12:51:02","Civic Center","8958625"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","02/15/2026 12:37:21","Haight/Noriega","8947341"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","02/14/2026 22:52:19","Ashbury/18th Street","8916852"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","02/14/2026 19:59:31","Van Ness/Mission","8903498"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","02/14/2026 17:39:18","Judah","8882909"
"100005510894","N/A","N/A","$0.00","Muni","N/A","02/02/2026 12:58:03","Divisadero","6797778"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","02/02/2026 11:45:50","Divisadero","6790430"
"100005510894","N/A","N/A","$0.00","Muni","N/A","03/22/2026 20:39:21","Haight/Noriega","15292222"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","03/22/2026 20:14:17","Fillmore","15289166"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","03/22/2026 13:35:52","Haight/Noriega","15236755"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","03/21/2026 23:25:56","Masonic","15139666"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","03/20/2026 22:16:01","Haight/Noriega","14869657"
