"ACCOUNT NUMBER","END DATE/TIME","END LOCATION","FARE","OPERATOR","PASS","START DATE/TIME","START LOCATION","TRIP ID"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","03/15/2026 17:21:36","Fulton","13531433"
"100005510894","N/A","N/A","$0.00","Muni","N/A","03/12/2026 21:46:07","Fulton","13124249"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","03/12/2026 21:38:12","Van Ness/Mission","13123588"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","03/12/2026 18:37:22","California","13097141"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","03/10/2026 19:52:23","Haight/Noriega","12686507"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","03/09/2026 15:50:47","Divisadero","12415408"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","03/08/2026 15:13:22","Masonic","12263480"
"100005510894","N/A","N/A","$0.00","Muni","N/A","03/07/2026 21:59:58","Fulton","12207596"
"100005510894","03/07/2026 21:44:17","San Francisco Ferry Building","$4.90","WETA","Cash Value ","03/07/2026 20:57:59","Main Street Alameda Ferry Term","12206398"
"100005510894","N/A","N/A","$0.00","AC Transit","N/A","03/07/2026 17:29:32","9999","12175440"
"100005510894","N/A","N/A","$2.50","AC Transit","Cash Value ","03/07/2026 16:09:54","6","12161505"
"100005510894","03/07/2026 13:25:11","Fruitvale","$5.10","BART","Cash Value ","03/07/2026 12:47:39","Civic Center","12135925"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","03/05/2026 21:26:28","Haight/Noriega","11912231"
"100005510894","N/A","N/A","$2.85","Muni","Cash Value ","03/05/2026 17:35:35","Haight/Noriega","11868379"
